"name";"height";"mass";"hair_color";"skin_color";"eye_color";"birth_year";"sex";"gender";"homeworld";"species";"humano";"motorista"
"Luke Skywalker";172;77;"blond";"fair";"blue";19;"male";"masculine";"Tatooine";"Human";TRUE;TRUE
"C-3PO";167;75;NA;"gold";"yellow";112;"none";"masculine";"Tatooine";"Droid";FALSE;FALSE
"R2-D2";96;32;NA;"white, blue";"red";33;"none";"masculine";"Naboo";"Droid";FALSE;FALSE
"Darth Vader";202;136;"none";"white";"yellow";41,9;"male";"masculine";"Tatooine";"Human";TRUE;TRUE
"Leia Organa";150;49;"brown";"light";"brown";19;"female";"feminine";"Alderaan";"Human";TRUE;FALSE
"Owen Lars";178;120;"brown, grey";"light";"blue";52;"male";"masculine";"Tatooine";"Human";TRUE;FALSE
"Beru Whitesun lars";165;75;"brown";"light";"blue";47;"female";"feminine";"Tatooine";"Human";TRUE;FALSE
"R5-D4";97;32;NA;"white, red";"red";NA;"none";"masculine";"Tatooine";"Droid";FALSE;FALSE
"Biggs Darklighter";183;84;"black";"light";"brown";24;"male";"masculine";"Tatooine";"Human";TRUE;TRUE
"Obi-Wan Kenobi";182;77;"auburn, white";"fair";"blue-gray";57;"male";"masculine";"Stewjon";"Human";TRUE;TRUE
"Anakin Skywalker";188;84;"blond";"fair";"blue";41,9;"male";"masculine";"Tatooine";"Human";TRUE;TRUE
"Wilhuff Tarkin";180;NA;"auburn, grey";"fair";"blue";64;"male";"masculine";"Eriadu";"Human";TRUE;FALSE
"Chewbacca";228;112;"brown";"unknown";"blue";200;"male";"masculine";"Kashyyyk";"Wookiee";FALSE;TRUE
"Han Solo";180;80;"brown";"fair";"brown";29;"male";"masculine";"Corellia";"Human";TRUE;TRUE
"Greedo";173;74;NA;"green";"black";44;"male";"masculine";"Rodia";"Rodian";FALSE;FALSE
"Jabba Desilijic Tiure";175;1358;NA;"green-tan, brown";"orange";600;"hermaphroditic";"masculine";"Nal Hutta";"Hutt";FALSE;FALSE
"Wedge Antilles";170;77;"brown";"fair";"hazel";21;"male";"masculine";"Corellia";"Human";TRUE;TRUE
"Jek Tono Porkins";180;110;"brown";"fair";"blue";NA;"male";"masculine";"Bestine IV";"Human";TRUE;TRUE
"Yoda";66;17;"white";"green";"brown";896;"male";"masculine";NA;"Yoda's species";FALSE;FALSE
"Palpatine";170;75;"grey";"pale";"yellow";82;"male";"masculine";"Naboo";"Human";TRUE;FALSE
"Boba Fett";183;78,2;"black";"fair";"brown";31,5;"male";"masculine";"Kamino";"Human";TRUE;TRUE
"IG-88";200;140;"none";"metal";"red";15;"none";"masculine";NA;"Droid";FALSE;FALSE
"Bossk";190;113;"none";"green";"red";53;"male";"masculine";"Trandosha";"Trandoshan";FALSE;FALSE
"Lando Calrissian";177;79;"black";"dark";"brown";31;"male";"masculine";"Socorro";"Human";TRUE;TRUE
"Lobot";175;79;"none";"light";"blue";37;"male";"masculine";"Bespin";"Human";TRUE;FALSE
"Ackbar";180;83;"none";"brown mottle";"orange";41;"male";"masculine";"Mon Cala";"Mon Calamari";FALSE;FALSE
"Mon Mothma";150;NA;"auburn";"fair";"blue";48;"female";"feminine";"Chandrila";"Human";TRUE;FALSE
"Arvel Crynyd";NA;NA;"brown";"fair";"brown";NA;"male";"masculine";NA;"Human";TRUE;TRUE
"Wicket Systri Warrick";88;20;"brown";"brown";"brown";8;"male";"masculine";"Endor";"Ewok";FALSE;FALSE
"Nien Nunb";160;68;"none";"grey";"black";NA;"male";"masculine";"Sullust";"Sullustan";FALSE;TRUE
"Qui-Gon Jinn";193;89;"brown";"fair";"blue";92;"male";"masculine";NA;"Human";TRUE;FALSE
"Nute Gunray";191;90;"none";"mottled green";"red";NA;"male";"masculine";"Cato Neimoidia";"Neimodian";FALSE;FALSE
"Finis Valorum";170;NA;"blond";"fair";"blue";91;"male";"masculine";"Coruscant";"Human";TRUE;FALSE
"Jar Jar Binks";196;66;"none";"orange";"orange";52;"male";"masculine";"Naboo";"Gungan";FALSE;FALSE
"Roos Tarpals";224;82;"none";"grey";"orange";NA;"male";"masculine";"Naboo";"Gungan";FALSE;FALSE
"Rugor Nass";206;NA;"none";"green";"orange";NA;"male";"masculine";"Naboo";"Gungan";FALSE;FALSE
"Ric Olié";183;NA;"brown";"fair";"blue";NA;NA;NA;"Naboo";NA;NA;TRUE
"Watto";137;NA;"black";"blue, grey";"yellow";NA;"male";"masculine";"Toydaria";"Toydarian";FALSE;FALSE
"Sebulba";112;40;"none";"grey, red";"orange";NA;"male";"masculine";"Malastare";"Dug";FALSE;FALSE
"Quarsh Panaka";183;NA;"black";"dark";"brown";62;NA;NA;"Naboo";NA;NA;FALSE
"Shmi Skywalker";163;NA;"black";"fair";"brown";72;"female";"feminine";"Tatooine";"Human";TRUE;FALSE
"Darth Maul";175;80;"none";"red";"yellow";54;"male";"masculine";"Dathomir";"Zabrak";FALSE;TRUE
"Bib Fortuna";180;NA;"none";"pale";"pink";NA;"male";"masculine";"Ryloth";"Twi'lek";FALSE;FALSE
"Ayla Secura";178;55;"none";"blue";"hazel";48;"female";"feminine";"Ryloth";"Twi'lek";FALSE;FALSE
"Dud Bolt";94;45;"none";"blue, grey";"yellow";NA;"male";"masculine";"Vulpter";"Vulptereen";FALSE;FALSE
"Gasgano";122;NA;"none";"white, blue";"black";NA;"male";"masculine";"Troiken";"Xexto";FALSE;FALSE
"Ben Quadinaros";163;65;"none";"grey, green, yellow";"orange";NA;"male";"masculine";"Tund";"Toong";FALSE;FALSE
"Mace Windu";188;84;"none";"dark";"brown";72;"male";"masculine";"Haruun Kal";"Human";TRUE;FALSE
"Ki-Adi-Mundi";198;82;"white";"pale";"yellow";92;"male";"masculine";"Cerea";"Cerean";FALSE;FALSE
"Kit Fisto";196;87;"none";"green";"black";NA;"male";"masculine";"Glee Anselm";"Nautolan";FALSE;FALSE
"Eeth Koth";171;NA;"black";"brown";"brown";NA;"male";"masculine";"Iridonia";"Zabrak";FALSE;FALSE
"Adi Gallia";184;50;"none";"dark";"blue";NA;"female";"feminine";"Coruscant";"Tholothian";FALSE;FALSE
"Saesee Tiin";188;NA;"none";"pale";"orange";NA;"male";"masculine";"Iktotch";"Iktotchi";FALSE;FALSE
"Yarael Poof";264;NA;"none";"white";"yellow";NA;"male";"masculine";"Quermia";"Quermian";FALSE;FALSE
"Plo Koon";188;80;"none";"orange";"black";22;"male";"masculine";"Dorin";"Kel Dor";FALSE;TRUE
"Mas Amedda";196;NA;"none";"blue";"blue";NA;"male";"masculine";"Champala";"Chagrian";FALSE;FALSE
"Gregar Typho";185;85;"black";"dark";"brown";NA;"male";"masculine";"Naboo";"Human";TRUE;TRUE
"Cordé";157;NA;"brown";"light";"brown";NA;"female";"feminine";"Naboo";"Human";TRUE;FALSE
"Cliegg Lars";183;NA;"brown";"fair";"blue";82;"male";"masculine";"Tatooine";"Human";TRUE;FALSE
"Poggle the Lesser";183;80;"none";"green";"yellow";NA;"male";"masculine";"Geonosis";"Geonosian";FALSE;FALSE
"Luminara Unduli";170;56,2;"black";"yellow";"blue";58;"female";"feminine";"Mirial";"Mirialan";FALSE;FALSE
"Barriss Offee";166;50;"black";"yellow";"blue";40;"female";"feminine";"Mirial";"Mirialan";FALSE;FALSE
"Dormé";165;NA;"brown";"light";"brown";NA;"female";"feminine";"Naboo";"Human";TRUE;FALSE
"Dooku";193;80;"white";"fair";"brown";102;"male";"masculine";"Serenno";"Human";TRUE;FALSE
"Bail Prestor Organa";191;NA;"black";"tan";"brown";67;"male";"masculine";"Alderaan";"Human";TRUE;FALSE
"Jango Fett";183;79;"black";"tan";"brown";66;"male";"masculine";"Concord Dawn";"Human";TRUE;FALSE
"Zam Wesell";168;55;"blonde";"fair, green, yellow";"yellow";NA;"female";"feminine";"Zolan";"Clawdite";FALSE;FALSE
"Dexter Jettster";198;102;"none";"brown";"yellow";NA;"male";"masculine";"Ojom";"Besalisk";FALSE;FALSE
"Lama Su";229;88;"none";"grey";"black";NA;"male";"masculine";"Kamino";"Kaminoan";FALSE;FALSE
"Taun We";213;NA;"none";"grey";"black";NA;"female";"feminine";"Kamino";"Kaminoan";FALSE;FALSE
"Jocasta Nu";167;NA;"white";"fair";"blue";NA;"female";"feminine";"Coruscant";"Human";TRUE;FALSE
"Ratts Tyerell";79;15;"none";"grey, blue";"unknown";NA;"male";"masculine";"Aleen Minor";"Aleena";FALSE;FALSE
"R4-P17";96;NA;"none";"silver, red";"red, blue";NA;"none";"feminine";NA;"Droid";FALSE;FALSE
"Wat Tambor";193;48;"none";"green, grey";"unknown";NA;"male";"masculine";"Skako";"Skakoan";FALSE;FALSE
"San Hill";191;NA;"none";"grey";"gold";NA;"male";"masculine";"Muunilinst";"Muun";FALSE;FALSE
"Shaak Ti";178;57;"none";"red, blue, white";"black";NA;"female";"feminine";"Shili";"Togruta";FALSE;FALSE
"Grievous";216;159;"none";"brown, white";"green, yellow";NA;"male";"masculine";"Kalee";"Kaleesh";FALSE;TRUE
"Tarfful";234;136;"brown";"brown";"blue";NA;"male";"masculine";"Kashyyyk";"Wookiee";FALSE;FALSE
"Raymus Antilles";188;79;"brown";"light";"brown";NA;"male";"masculine";"Alderaan";"Human";TRUE;FALSE
"Sly Moore";178;48;"none";"pale";"white";NA;NA;NA;"Umbara";NA;NA;FALSE
"Tion Medon";206;80;"none";"grey";"black";NA;"male";"masculine";"Utapau";"Pau'an";FALSE;FALSE
"Finn";NA;NA;"black";"dark";"dark";NA;"male";"masculine";NA;"Human";TRUE;FALSE
"Rey";NA;NA;"brown";"light";"hazel";NA;"female";"feminine";NA;"Human";TRUE;FALSE
"Poe Dameron";NA;NA;"brown";"light";"brown";NA;"male";"masculine";NA;"Human";TRUE;TRUE
"BB8";NA;NA;"none";"none";"black";NA;"none";"masculine";NA;"Droid";FALSE;FALSE
"Captain Phasma";NA;NA;"unknown";"unknown";"unknown";NA;NA;NA;NA;NA;NA;FALSE
"Padmé Amidala";165;45;"brown";"light";"brown";46;"female";"feminine";"Naboo";"Human";TRUE;TRUE
